date	close	change_pct
2026-07-22	103.28	-0.32
2026-07-21	103.61	3.78
2026-07-20	99.84	1.04
2026-07-19	98.81	0.52
2026-07-16	98.30	0.10
2026-07-15	98.20	0.98
2026-07-14	97.25	0.26
2026-07-13	97.00	-1.70
2026-07-12	98.68	0.85
2026-07-09	97.85	1.20
2026-07-08	96.69	-1.84
2026-07-07	98.50	2.07
2026-07-06	96.50	4.02
2026-07-05	92.77	0.17
2026-07-01	92.61	0.34
2026-06-30	92.30	2.56
2026-06-29	90.00	-1.10
2026-06-28	91.00	-2.83
2026-06-25	93.65	-1.07
2026-06-24	94.66	-0.73
2026-06-23	95.36	0.23
2026-06-22	95.14	2.29
2026-06-21	93.01	0.55
2026-06-17	92.50	-0.54
2026-06-16	93.00	
2026-06-15	93.00	2.55
2026-06-14	90.69	0.59
2026-06-11	90.16	-2.59
2026-06-10	92.56	-1.82
2026-06-09	94.28	0.24
2026-06-08	94.05	-0.38
2026-06-07	94.41	-2.57
2026-06-04	96.90	0.83
2026-06-03	96.10	-1.93
2026-06-02	97.99	0.02
2026-06-01	97.97	0.35
2026-05-25	97.63	2.23
2026-05-24	95.50	0.01
2026-05-21	95.49	
2026-05-20	95.49	-0.27
2026-05-19	95.75	2.61
2026-05-18	93.31	-1.00
2026-05-17	94.25	-2.43
2026-05-14	96.60	
2026-05-13	96.60	-1.92
2026-05-12	98.49	-0.40
2026-05-11	98.89	-0.61
2026-05-10	99.50	2.88
2026-05-06	96.71	4.55
2026-05-05	92.50	-0.54
2026-05-04	93.00	-0.53
2026-05-03	93.50	
2026-04-30	93.50	-0.74
2026-04-29	94.20	-0.84
2026-04-28	95.00	0.90
2026-04-27	95.65	-0.30
2026-04-26	95.94	0.98
2026-04-23	95.01	0.53
2026-04-22	94.51	0.54
2026-04-21	94.00	
2026-04-20	94.00	-2.34
2026-04-19	96.25	0.59
2026-04-16	95.69	1.99
2026-04-15	93.82	-0.19
2026-04-14	94.00	0.11
2026-04-09	93.90	3.19
2026-04-08	91.00	3.53
2026-04-07	87.90	-0.61
2026-04-06	88.44	-0.52
2026-04-05	88.90	5.32
2026-04-02	84.41	-0.11
2026-04-01	84.50	7.52
2026-03-31	78.59	-0.53
2026-03-30	79.01	-3.06
2026-03-29	81.50	-1.39
2026-03-26	82.65	-1.02
2026-03-25	83.50	1.09
2026-03-24	82.60	-2.12
2026-03-18	84.39	2.54
2026-03-17	82.30	1.60
2026-03-16	81.00	-1.88
2026-03-15	82.55	-2.48
2026-03-12	84.65	-0.18
2026-03-11	84.80	0.94
2026-03-10	84.01	2.29
2026-03-09	82.13	-4.50
2026-03-08	86.00	-2.27
2026-03-05	88.00	
2026-03-04	88.00	1.62
2026-03-03	86.60	-2.51
2026-03-02	88.83	-1.63
2026-03-01	90.30	-2.68
2026-02-26	92.79	3.35
2026-02-25	89.78	-4.39
2026-02-24	93.90	1.51
2026-02-23	92.50	0.66
2026-02-22	91.89	-2.35
2026-02-19	94.10	-3.68
2026-02-18	97.70	0.37
2026-02-17	97.34	-1.69
2026-02-16	99.01	-12.37
2026-02-15	112.98	19.00
2026-02-12	94.94	1.92
2026-02-11	93.15	0.28
2026-02-10	92.89	2.20
2026-02-09	90.89	2.41
